group,mz,cluster,r2
ctrl1,503.26451362708,0,0.9884989295804512
ctrl1,503.26451362708,1,0.9896191993761372
ctrl1,503.26451362708,2,0.9905844561929792
ctrl1,503.26451362708,3,0.986379897680214
ctrl1,503.26451362708,4,0.9905200745555504
ctrl1,503.26451362708,5,0.9878734598023176
ctrl1,503.26451362708,6,0.99361031553539
ctrl1,503.26451362708,7,0.9960979435499854
ctrl1,503.26451362708,8,0.9754127136298328
ctrl1,503.26451362708,9,0.948324554030492
ctrl1,503.26451362708,10,0.988036747913191
ctrl1,503.26451362708,11,0.989342776316292
ctrl1,503.26451362708,12,0.9900642845097596
ctrl1,503.26451362708,13,0.985442182149828
ctrl1,503.26451362708,14,0.9909025762848188
ctrl1,503.26451362708,15,0.9880304785636064
ctrl1,503.26451362708,16,0.995329571154263
ctrl1,503.26451362708,17,0.9905447406031836
ctrl1,503.26451362708,18,0.9958517978681928
ctrl1,503.26451362708,19,0.9898468911661026
ctrl2,503.26451362708,0,0.9657548663186808
ctrl2,503.26451362708,1,0.9844447109226638
ctrl2,503.26451362708,2,0.985016664737553
ctrl2,503.26451362708,3,0.9728487135524566
ctrl2,503.26451362708,4,0.9916975920463738
ctrl2,503.26451362708,5,0.9616890851908716
ctrl2,503.26451362708,6,0.9934193249924358
ctrl2,503.26451362708,7,0.9809886011940264
ctrl2,503.26451362708,8,0.9442465212632308
ctrl2,503.26451362708,9,0.9892858984502658
ctrl2,503.26451362708,10,0.9697772158892756
ctrl2,503.26451362708,11,0.9640667796143704
ctrl2,503.26451362708,12,0.9824942080209148
ctrl2,503.26451362708,13,0.9858941543717764
ctrl2,503.26451362708,14,0.9753377711689304
ctrl2,503.26451362708,15,0.9867900912782652
ctrl2,503.26451362708,16,0.9592137335573786
ctrl2,503.26451362708,17,0.9837956369113956
ctrl2,503.26451362708,18,0.9844278557208852
ctrl2,503.26451362708,19,0.9806344330632356
ctrl3,503.26451362708,0,0.9942734806179028
ctrl3,503.26451362708,1,0.9979365539538272
ctrl3,503.26451362708,2,0.9941806317151552
ctrl3,503.26451362708,3,0.9921382677915636
ctrl3,503.26451362708,4,0.9895192291033644
ctrl3,503.26451362708,5,0.9692794015647052
ctrl3,503.26451362708,6,0.9936608996755084
ctrl3,503.26451362708,7,0.9965244786592184
ctrl3,503.26451362708,8,0.9928979709798358
ctrl3,503.26451362708,9,0.9911933712709408
ctrl3,503.26451362708,10,0.991775515037032
ctrl3,503.26451362708,11,0.987294610431574
ctrl3,503.26451362708,12,0.9918537720044632
ctrl3,503.26451362708,13,0.9952914670984494
ctrl3,503.26451362708,14,0.9947962186522163
ctrl3,503.26451362708,15,0.9928282977190224
ctrl3,503.26451362708,16,0.997314634564699
ctrl3,503.26451362708,17,0.9803914800174331
ctrl3,503.26451362708,18,0.9832262946760568
